,category,num_of_reviews,product_id
40120,크림,6.0,13592
40121,"샴푸,바디워시",2.0,13640
40122,여성향수,3.0,104688
40123,클렌징폼,2.0,13588
40124,페이스오일,2.0,2021
40125,바디미스트,2.0,34137
40126,바디로션,4.0,13633
40127,바디크림,5.0,34134
40128,여성향수,6.0,13628
40129,"샴푸,바디워시",7.0,13637
40130,에센스,12.0,2019
40131,립밤,9.0,13620
40132,여성향수,19.0,13626
40133,클렌징워터,18.0,2014
40134,스크럽/필링,33.0,2013
40135,"샴푸,바디워시",0.0,25763
40136,여성향수,310.0,2289
40137,바디로션,49.0,13634
40138,여성향수,1.0,13627
40139,여성향수,4.0,25756
40140,"샴푸,바디워시",25.0,13629
40141,여성향수,3.0,104687
40142,"샴푸,바디워시",4.0,13630
40143,"클렌징밀크,포인트리무버",8.0,13589
40144,크림,5.0,18236
40145,크림,14.0,27501
40146,립밤,2.0,27574
40147,아이케어,4.0,20207
40148,스크럽/필링,1.0,11120
40149,스크럽/필링,1.0,11317
40150,"에센스,링클케어",4.0,16719
40151,"로션,화이트닝케어",0.0,13624
40152,크림,1.0,2928
40153,스크럽/필링,1.0,54205
40154,클렌징젤,1.0,94854
40155,"로션,링클케어",1.0,13614
40156,바디로션,1.0,25762
40157,립밤,1.0,13647
40158,클렌징폼,1.0,2016
40159,"에센스,스크럽/필링",2.0,2020
40160,헤어에센스,0.0,95316
40161,에센스,0.0,90684
40162,디퓨저,0.0,106110
40163,디퓨저,0.0,106108
40164,디퓨저,0.0,106105
40165,디퓨저,0.0,106109
40166,클렌징비누,1.0,98929
40167,클렌징비누,0.0,98927
40168,헤어에센스,0.0,23535
40169,베이비클렌저/샴푸,0.0,23532
40170,베이비바디,0.0,23534
40171,샴푸,0.0,23538
40172,트리트먼트/팩,0.0,23536
40173,샴푸,0.0,23537
40174,린스/컨디셔너,0.0,23533
40175,헤어기기,202.0,65977
40176,제모제/용품,111.0,23128
40177,헤어기기,0.0,83532
40178,페이스소품,2.0,86704
40179,헤어기기,11.0,81033
40180,헤어기기,2.0,97239
40181,페이스소품,1.0,73005
40182,제모제/용품,1.0,101930
40183,헤어기기,1.0,96668
